question,answer,label
What is a meridian?,Sky half-circle line.,avarage
What is the celestial equator?,Sky middle line.,avarage
What is the ecliptic?,Suns sky road.,avarage
What is a constellation?,Star pictures like Orion.,good
Name 3 constellations.,"Big Dipper, Scorpion, Hunter.",good
Why do constellations seem to move?,Earth spin make stars dance.,avarage
What is the zodiac?,Star signs for horoscope.,avarage
How did ancient people use constellations?,Sailors follow stars.,avarage
What tools are used for sky watching?,Telescope and apps.,avarage
Why avoid city lights for stargazing?,Too bright at night.,avarage
Do planets/stars affect human life?,Horoscope fun but fake.,good
What is Polaris?,Star that never moves.,good
What is a red giant?,Big red old star.,avarage
What is a white dwarf?,Tiny hot star corpse.,avarage
What is a neutron star?,Squished star ball.,avarage
How is a stars color related to temperature?,"Blue fire, red coal.",good
What is a binary star?,Star twins dancing.,avarage
What is a light-year?,Time star light takes.,poor
Why is the Sun a star?,Sun is big hot ball.,avarage
What is a pulsar?,Flashing space ball.,avarage
Why are some stars brighter than others?,Big hot stars shine more.,avarage
How do scientists study distant stars?,Telescopes and space machines.,avarage
What is a star cluster?,Stars hanging out together.,avarage
What is an open cluster?,Young stars staying near.,avarage
What is a globular cluster?,Round ball of old stars.,avarage
What is cosmic dust?,Space dirt floating.,avarage
What are exoplanets?,Planets far from Sun.,avarage
How do we detect exoplanets?,See planet shadows and wobbles.,avarage
What is the Hubble Space Telescope?,Big camera in space.,avarage
Why is the night sky dark?,"Space far, light not reach.",avarage
What causes a shooting star?,Rock burning in sky.,avarage
What is a comet?,Icy thing with tail in sky.,avarage
What is an asteroid?,Space rock near Mars.,avarage
What is a meteorite?,Rock from sky hitting ground.,avarage
What is the difference between a star and a planet?,"Stars glow, planets dont.",good
Why do stars seem to move across the sky?,"Earth turns, stars shift.",avarage
What happens when a star dies?,Star turns into something new.,avarage
What is physics?,Physics is study of all things in nature from small to big.,good
What does mechanics study?,Mechanic is how things move and force works on them.,avarage
What is electromagnetics?,It is about eletric and magnatic force.,avarage
What does thermodynamics focus on?,Thermodynamics is about heat and energy.,good
What does kinetics study?,Kinetics is about moving body with force.,avarage
What is chemistry?,Chemistry is about matter and how it change.,good
What is organic chemistry?,It is chemistry of life.,avarage
What is inorganic chemistry?,It study non living chemicals.,avarage
What does physical chemistry do?,It is mix of physics and chemistry.,avarage
What does analytical chemistry study?,It analyses matter.,avarage
What is biochemistry?,It is about chemical in humans.,avarage
Is thermodynamics related to energy?,"Yes, it is energy.",avarage
Does chemistry involve changes in substances?,Chemistry is changing stuff.,avarage
Which branch of chemistry focuses on carbon?,Carbon is organic.,avarage
Which branch of chemistry does not include C-H bonds?,Non carbon bonds are in inorganic.,avarage
What does physics study?,Physics is about energy.,avarage
What are subatomic particles?,They are small parts of atom.,avarage
What is astronomy?,Astronomy is about stars and planets only.,avarage
What can we see in astronomy?,Only stars and sun are studied in astronomy.,avarage
What is meteorology?,Meteorology is weather report.,avarage
What does geology mean?,Geology is rocks and fossils study.,avarage
What is geoscience?,Geoscience is studying planets.,poor
What is atmospheric science?,It is about the air.,poor
What does atmospheric science include?,It has to do with temperature only.,poor
What is glaciology?,Glaciology means studying cold things.,avarage
What does glaciology study?,It is about snow falling in cities.,poor
What is climatology?,Climate is like today is rainy or sunny.,poor
What is the focus of climatology?,Climatology tells todays weather.,poor
Name some tools used in astronomy.,Microscope is used to see planets.,poor
What is the primary Earth science?,Geography is the main Earth science.,poor
What does meteorology predict?,It guesses what weather will happen.,avarage
What is the difference between climate and weather?,Weather and climate are the same thing.,poor
How is natural science applied in real life?,It is used in engineering and medical things.,avarage
What is critical thinking in natural science?,Thinking deeply about science things.,avarage
How does natural science help develop skills?,It helps with analyzing and being organized.,avarage
What is the importance of analytical skills in science?,They help in drawing lines in experiments.,poor
How is natural science helpful for careers?,It helps to become a scientist.,avarage
Why is understanding the natural world important?,To know about trees and animals.,poor
Who is a physicist?,Physicist is someone who do physics.,avarage
What do quantum physicists study?,They study universe very small parts.,avarage
What is the role of chemists?,Chemists make chemicals for many things.,good
What do astronomers study?,They see stars and moon.,avarage
How is physics useful for computer scientists?,They use computer with physics to solve problems.,avarage
Who is a marine biologist?,They study animals in water.,avarage
What do pharmacologists do?,They make medicine for people.,good
What is the job of a forensic scientist?,They look at clues to solve crimes.,avarage
What does an agricultural scientist do?,They work with crops and animals for better farming.,good
Who are virologists?,They work on viruses to stop them.,good
Who is a meteorologist and what is their main responsibility?,They tell weather and forecast it.,avarage
What does a land planner do?,They make rules for land.,avarage
How do land planners use earth science in their work?,They use science for land work.,avarage
What do geologists study?,They study rocks and earth things.,avarage
What types of materials are studied by geologists?,They study stones and rocks.,avarage
Who studies the Earth's history through fossils?,Paleontologists learn history from bones.,avarage
What is the role of a paleontologist?,They look at fossils to know past.,avarage
What are environmental scientists concerned with?,They work to save nature and people.,good
How do environmental scientists use earth science to help the planet?,They use science to save Earth.,avarage
Which career involves analyzing weather and preparing forecasts?,Meteorologist do forecasting.,avarage
What does psychology study?,Psychology is about dreams.,poor
Define sociology.,It talks about society a little.,poor
What is anthropology?,It's about animals and humans together.,poor
What does economics study?,Economics is only about money and banks.,poor
What is archaeology?,Archaeology means digging holes.,poor
What is history?,History is remembering wars only.,poor
What does geography study?,Geography is drawing maps only.,poor
What is law?,Law means going to jail.,poor
What is politics?,Politics is fighting in parliament.,poor
Name one benefit of social sciences.,It is just stories about humans.,poor
What is mathematics?,Maths is adding only.,poor
What is logic?,Logic is guessing answers.,poor
What does computer science focus on?,It teaches how to use a phone.,poor
What is data science?,Its just Excel work.,poor
What does statistics deal with?,It is memorizing numbers.,poor
What is system science?,It is science about electricity systems.,poor
Define artificial intelligence.,AI is about making robot friends.,poor
What is information technology?,IT means fixing computers.,poor
What is the role of AI in formal sciences?,AI only helps in games.,poor
Give one use of social science in society.,It tells us to be social.,poor
What is the relationship between natural and social sciences?,They overlap in areas like environmental scince where people...,avarage
How does formal science support other branches of science?,It creates math models to explain complex natural and social...,good
Name any three interdisciplinary fields of science.,"Biochemistry, Bioinformatics, Cognitive Scince.",avarage
What does cognitive science study?,"It studies the mind using inputs from linguistics, psychology...",good
Give an example of a complex system.,The Earth's global climate or the people brain.,avarage
What does bioinformatics do?,It develops software tools to understand biological info.,avarage
What is biomedical engineering?,It applies engineering principles to solve problems in biolog...,good
How is artificial intelligence related to science?,It helps simulate intelligent behavior and understand people ...,good
What is an interdisciplinary field?,A field that combines two or more scientific disciplines.,good
List two examples of interdisciplinary sciences that involve biology.,Biochemistry and Bioinformatics.,good
How does chemistry contribute to interdisciplinary science?,It combines with biology or physics to study matter and life ...,avarage
Define complex systems in simple words.,They are systems made up of many interacting parts like climat...,avarage
What makes cognitive science interdisciplinary?,"It integrates many fields like neuroscience, linguistics, and...",avarage
How is ecology an interdisciplinary science?,"It includes biology, geography, and environmental scince to s...",avarage
What role does computer science play in cognitive science?,It helps in modeling and simulating mental processes.,good
What is scientific collaboration?,Scientists workin together to achieve a common resurch goal.,avarage
Give one example of international scientific collaboration.,The International Space S,avarage
Who discovered the cell and when?,Robert Hooke discovered the cel in 1665.,avarage
What material did Robert Hooke observe to discover cells?,He observed thin pieces of cork under a micros...,avarage
Why did Hooke name the structures he saw 'cells'?,Because they reminded him of small rooms in a ...,good
What are cells called in terms of organism structure?,Cels are the strucural and funtional units of ...,good
How are new cells formed?,New cels are formed through celular division.,avarage
Give one example each of a unicellular and multicellular organism.,"Amoeba (unicelular), Frog (multicelular).",poor
How do cells help in movement?,Muscle cels contract to move body parts.,avarage
How are messages transmitted from brain to muscles?,Nerve cels transmit messages to muscle cels.,avarage
What basic functions occur in all cells?,"Movment, resperation, growth, and reproductio...",good
Why are cells called functional units of life?,Because all life processes occur in cels.,good
What are cell organelles?,Highly organized strucures inside the cel.,avarage
Name four non-organelle cell structures.,"Cel wall, cel membrane, cytoplazm, cytoskeleto...",avarage
Which types of organisms have cell walls?,"Plant cels, prokaryotes, fungi, and some protists.",avarage
Do animal cells have cell walls?,"No, animal cels do not have cel walls.",poor
What is the function of the cell wall?,It protects and maintains the shape of the pla...,good
What is the nature of the cell wall?,It is porous and allows free passage of water ...,avarage
What is the cell membrane?,It is the covering of the cytoplazm.,avarage
Which cells have cell membranes?,All prokaryotic and eukaryotic cels.,avarage
Is the cell membrane permeable?,It is semipermeable.,good
What does the cell membrane do?,It maintains internal cel compositon.,avarage
Where is cytoplasm located?,Between the plasma membrane and nuclear envelo...,avarage
What does cytoplasm contain?,"Water, proteins, carbohydrates, lipids, and in...",good
What is the function of cytoplasm?,It provides space for organelle funtion and bi...,avarage
Give one example of a cytoplasmic function.,Breakdown of glucose during resperation.,avarage
What is the cytoskeleton?,A network of fine fibers supporting the cel.,good
What are the components of cytoskeleton?,"Microfilaments, macro-filaments, and intermedi...",avarage
What structures are made using cytoskeleton components?,Cilia and flagella.,good
What is the role of the cytoskeleton?,It is responsible for cel shape and movment.,good
What does the cytoplasm provide for organelles?,Space to funtion.,avarage
Why is cytoplasm semi-viscous and semitransparent?,Because it contains dissolved substances like ...,avarage
What does the term 'organelles' mean?,Organelles are little organs that do things in cells.,good
Where are organelles found in a cell?,They are in the liquid part of cell.,avarage
What is the function of the nucleus?,Nucleus controls cell work.,good
What surrounds the nucleus?,A membrane surrounds nucleus.,avarage
What is the fluid inside the nucleus called?,It's called nucleoplasm.,good
What is the dark-staining region in the nucleus?,It is called nucleolus.,good
What are chromosomes made of?,Chromosomes are made of DNA and proteins.,good
What is a centromere?,It is a constriction in chromosome.,good
How many chromatids does a chromosome have?,There are two chromatids.,good
What are ribosomes made of?,They are made of RNA and proteins.,good
Where are ribosomes found in a cell?,They are attached to ER or in cytoplasm.,good
What are the two types of endoplasmic reticulum?,Smooth ER and rough ER.,good
Which ER has ribosomes?,Rough ER has ribosomes.,good
What is the function of rough ER?,It makes proteins.,good
What is the function of smooth ER?,It helps make fats and clean drugs.,good
Who discovered the Golgi apparatus?,It was found by Camillo Golgi.,good
What is the structure of Golgi apparatus?,It is flat sacs of membranes.,good
Where is the cis face of Golgi directed?,It faces ER.,good
What does the Golgi apparatus receive?,It gets vesicles from ER.,good
What does the Golgi apparatus produce?,It makes lysosomes and stores things.,good
What do lysosomes contain?,Lysosomes have enzymes that break things.,good
What is the function of lysosomes?,They clean and recycle old parts.,good
What is the shape of lysosomes?,They are round and have one membrane.,good
What is the function of mitochondria?,They make ATP energy.,good
What is the structure of mitochondria?,They have two membranes and folds called cristae.,good
What is the mitochondrial fluid called?,It is called matrix.,good
What is found in mitochondria?,Mitochondria have DNA and ribosomes.,good
What is the centrosome?,Centrosome has two centrioles near nucleus.,good
What happens to centrioles before cell division?,They copy and go to opposite sides.,good
What is the role of spindle fibers?,Spindle fibers help in dividing cell.,good
What surrounds a plant cell to give it structure?,Plant have hard cover,poor
Do animal cells have a cell wall?,no wall in animals,poor
How many vacuoles are present in a plant cell?,Plant have big water store,poor
How do vacuoles in animal cells differ from those in plant cells?,animal vacuole small and many,poor
Do animal cells contain plastids?,no plastid in animal,poor
What organelles are found in both plant and animal cells?,they both have things like cell stuff,poor
Which organelle is present in plant cells for photosynthesis?,plant cell have photosyntesis thing,poor
Do animal cells perform photosynthesis?,no photo in animals,poor
Which type of cell is usually larger?,plants are big cell,poor
What is the function of the large vacuole in plant cells?,plant vacuole keep it shape,poor
Are centrosomes present in animal cells?,animal got center-something,poor
Are lysosomes found in animal cells?,yes animal have lysome,poor
Do plant cells have cilia?,plant don't have that,poor
Which type of cell has more visible lysosomes?,animal got more of it,poor
What helps the plant cell maintain its shape?,shape from big thing inside,poor
What are plastids responsible for in plant cells?,plastid do food and photo,poor
What is the outer boundary of an animal cell?,animal has cover,poor
Which cell has rigid structure around it?,plant has hard outer,poor
Name one organelle not found in animal cells.,no green part in animal,poor
What part of the cell is used for storage in both cells?,vacuole store in both,poor
What is a tissue?,Tissues are made of cells and do things in body.,avarage
What are the two main types of plant tissues?,Plant has simple and complex tissue.,avarage
What are meristematic tissues?,Meristem is growing part of plant where cell divide.,avarage
What is the function of permanent tissue?,Permanent tissue do work in plant and dont grow.,avarage
What is the function of epidermal tissue?,Epidermis is plant covering and help plant.,avarage
Where is the epidermis found in plants?,It is on plant parts like root and leaf.,avarage
What are stomata and what is their function?,Stomata are holes in leaf for gases.,avarage
Name the two types of compound tissues.,Xylem and pholem.,avarage
What is the function of xylem?,Xylem carry water and give strength.,avarage
What are the two main cell types in xylem?,Vessels and tracheids.,avarage
What is a tracheid?,Tracheids are long hollow cells that move water.,avarage
What are vessels in xylem?,Vessels are tubes in plant that carry water.,avarage
What is the function of phloem?,Phloem moves food in plant.,avarage
What are sieve tube elements?,Sieve tube move food and have holes.,avarage
What are companion cells?,They help sieve tube to work.,avarage
What are the four main animal tissues?,Animals have 4 tissue types like muscle and nerve.,avarage
What is epithelial tissue?,It is cover of body and inside body.,avarage
Where is squamous epithelium found?,In lungs and blood tubes.,avarage
What is the function of cuboidal epithelium?,It do absorption in kidney.,avarage
Where is ciliated epithelium found and what is its function?,Cilia cells are in air pipe and move things.,avarage
What is the main function of connective tissue?,Connective tissue helps to support organs and tissues in the body.,avarage
Name any two specialized connective tissues.,Cartilage and blood are types of connective tissue.,avarage
Where is adipose tissue found in the human body?,Adipose tissue is found under the skin.,avarage
What are the functions of adipose tissue?,Adipose tissue stores energy and keeps the body warm.,avarage
What type of fibers are found in dense connective tissue?,Collagen and elastin fibers are in connective tissues.,avarage
Where is dense connective tissue found?,Dense connective tissue is found in tendons.,avarage
What is the function of areolar tissue?,Areolar tissue holds organs and connects tissues.,avarage
Define muscle tissue.,Muscle tissue helps in movement and is made of muscle cells.,avarage
Why are muscle cells also called muscle fibers?,Muscle cells are long and big so they are called fibers.,avarage
Name the three types of muscle tissues.,"Striated, smooth, and cardiac muscles.",avarage
What is another name for striated muscles?,Skeletal muscles are striated.,avarage
Where are striated muscles found?,They are found with bones to move the body.,avarage
What is another name for smooth muscles?,Smooth muscles are also called involuntary muscles.,avarage
How many nuclei are present in smooth muscle cells?,Smooth muscle has one nucleus in each cell.,avarage
Where are smooth muscles found?,They are found inside the organs.,avarage
Describe the structure of cardiac muscles.,Cardiac muscles are branched and have one nucleus.,avarage
Where are cardiac muscles found?,Cardiac muscles are in the heart.,avarage
What is the function of intercalated discs in cardiac muscles?,They help the heart cells beat together.,avarage
What makes cardiac muscles different from striated muscles?,Striated are straight and cardiac are branched.,avarage
Which muscle type is multinucleated?,Striated muscles have many nuclei.,avarage
What are neurons?,Neurons are cells that help body to work.,avarage
What are the main parts of a neuron?,A neuron has cell and fibres.,avarage
What is the function of dendrites?,Dendrites send signals.,avarage
What is the function of axons?,Axons carry messages from the cell.,avarage
How do neurons help in communication?,Neurons talk to other cells by axon and dendrites.,avarage
What is an atom?,Atom is a small thing.,poor
What are the three main parts of an atom?,Proton and electron.,poor
Where are protons located in an atom?,Proton is in the atom.,poor
What is the charge of an electron?,Electron is small and negative.,poor
What is the nucleus of an atom?,It is in the middle.,poor
What is an isotope?,Isotopes are same atom.,poor
What makes atoms of different elements different?,Because they look different.,poor
What does the atomic number tell us?,It shows atom.,poor
What is the charge of a neutron?,It has no power.,poor
Where are electrons found in an atom?,They are outside.,poor
What determines the mass number of an atom?,Mass is big number.,poor
How are isotopes of an element similar?,They are the same atom.,poor
How are isotopes of an element different?,They look different.,poor
What is the charge of a proton?,It is plus.,poor
What is meant by atomic mass?,It is the weight.,poor
What are orbitals?,It's where electrons go.,poor
Why are atoms neutral?,Because they are same.,poor
What is the smallest unit of matter?,Tiny thing.,poor
What holds the nucleus together?,They are joined.,poor
What is the role of neutrons in the atom?,They are inside.,poor
What is the atomic number?,Atomic number is the size of atom.,poor
What is the mass number?,It is number of protons.,poor
What is an isotope?,Isotope is a different element.,poor
Where are protons located in an atom?,Protons are present in the shells.,poor
What is the charge of a neutron?,Neutron is negative.,poor
Define atomic mass.,Atomic mass is the weight of protons.,avarage
What are electrons and where are they found?,Electrons are in nucleus and are positive.,poor
Who discovered the nucleus of the atom?,Bohr discovered nucleus.,poor
What is the nucleus?,Nucleus is the outer part of atom.,poor
What is the Bohr model of the atom?,Bohr said electrons are moving freely.,avarage
What happens when electrons jump between energy levels?,Electrons stop working.,poor
What is meant by electronic shell?,Shells are the outer layer of atom like skin.,avarage
What are quantum numbers?,Quantum number is a big number.,poor
Why are isotopes of the same element chemically similar?,Because they have different neutrons.,poor
What did Rutherford conclude from his gold foil experiment?,He found atom is a circle.,poor
What is the charge and mass of an electron?,Electron is heavy and positive.,poor
What is the ground state of an electron?,It is when the atom is on the ground.,poor
How do isotopes differ from each other?,They differ because they have different elements.,poor
What does the periodic table use to organize elements?,It uses size and weight.,avarage
How are electrons arranged in an atom according to Bohrs model?,They just move in any way.,poor
What is nutrition in living things?,Nutrition is when things eat food to stay good.,avarage
How do plants obtain food?,Plants eat food from the ground.,poor
How do animals obtain food?,Animals find food in jungle.,avarage
What is growth in living things?,Growth is when we become tall.,avarage
Give an example of growth in humans.,A kid turns into a grown.,avarage
What is breathing?,Breathing is air coming in body.,avarage
Why is breathing important?,So we dont die.,poor
How do animals breathe?,Animals just breathe air.,avarage
What is sensitivity in living things?,Sensitive means soft things.,poor
Give an example of plant sensitivity.,A plant falls when you touch.,avarage
How do humans show sensitivity?,When we feel pain.,avarage
What is movement in animals?,Movement is walking.,avarage
How do birds move?,Bird move with wings and feets.,avarage
How do snakes move?,Snake crawl with skin.,poor
Do plants move? Give an example.,"No, plants never move.",poor
What is reproduction?,Reproduction is when babies born.,avarage
Give an example of reproduction in animals.,Dog make doggies.,avarage
Give an example of reproduction in plants.,Trees make more trees.,avarage
What do living things inherit from their parents?,They look same as father.,avarage
How do birds inherit traits?,Baby bird has wings from big bird.,avarage
What is elimination of waste?,Taking out dirty things from body.,avarage
How do animals eliminate waste?,They go toilet.,poor
What waste do plants produce?,Plants waste is leaves.,poor
Why must waste be removed from living things?,Waste makes body bad.,avarage
What is death in living things?,Death is when someone is gone.,avarage
Why do living things die?,"When old, they die.",avarage
Give an example of an animal dying naturally.,Cat die when old.,avarage
Give an example of plant growth.,Tree become big.,avarage
How does the shoot show movement in a plant?,It go near sun.,avarage
List any 3 characteristics of living things.,"Eat, move, die.",avarage
What is energy?,Enerjy is what helps living do things.,avarage
Why do living things need energy?,To move and be live.,avarage
How do plants get their energy?,Plants take sun and make food.,avarage
What is photosynthesis?,Plants do photosynthesis with light and water to make sugar and oxgen.,good
Where does photosynthesis take place?,It happens in plant.,poor
What do plants produce during photosynthesis?,Plant make sugar and air.,avarage
What is the role of sunlight in photosynthesis?,Sunlight help plants in food making.,avarage
What do animals depend on for energy?,Animal take energy from plant and also from meat.,avarage
Give an example of an animal that eats only plants.,Cow eat grass.,good
Give an example of an animal that eats both plants and animals.,Humans eat meat and also fruits.,good
How do humans get energy?,We eat food to get energy.,good
What do our bodies do with energy?,Energy helps body to move.,avarage
What happens to energy in our body?,We use energy and move.,avarage
Name the three things required for photosynthesis.,"Light, CO2 and water need.",good
Which part of the plant uses sunlight for photosynthesis?,Leaves catch sunlight.,good
What do plants need to survive?,"Plants need water, sun and soil.",avarage
What gases are found in air?,"Air has O2, CO2, and water.",good
How do plants use carbon dioxide?,CO2 is use by plants to food.,avarage
Why do plants need oxygen?,Plants breath oxygen like us.,avarage
What is respiration in plants?,Plants make energy from sugar.,avarage
What is the function of light for a plant?,Light is for food making.,good
Why is water important for plants?,Water helps plant in photosynthis.,avarage
What happens if a plant gets too little water?,It become droopy.,good
What are nutrients?,Nutrients are good for plants to grow.,avarage
How do plants get nutrients?,From soil roots take nutrients.,good
Name any two nutrients plants need.,Plants need nitrogen and water.,avarage
What do plant roots need space for?,Root need space to grow.,avarage
Why do plant leaves need space?,So light can reach.,avarage
What happens to overcrowded plants?,They dont grow good.,avarage
Why is space important for plant growth?,Plant needs space to live.,avarage
What are the two main classifications of plants?,Flower and no flower plants.,avarage
Give two examples of flowering plants.,Ros and sunfllower.,avarage
What is a flowering plant?,A plant that make flower.,avarage
Give two examples of non-flowering plants.,Moss and fernss.,avarage
What are non-flowering plants?,Plants not have flowers.,avarage
Name one plant that is a conifer.,Pinee.,avarage
What is a monocot plant?,It have one seed.,avarage
Name two monocot plants.,Rice and Weet.,avarage
What is a dicot plant?,It has 2 part of seed.,avarage
Name two dicot plants.,pea and gram,good
Is mango a monocot or dicot plant?,Monocot plant.,poor
Is maize a monocot or dicot plant?,Dicot plant.,poor
How many cotyledons does a monocot seed have?,It has one part.,avarage
How many cotyledons does a dicot seed have?,two part in seed.,avarage
Are ferns flowering or non-flowering plants?,Flower plant.,poor
Is rose a flowering plant?,Yes it is.,good
Name a shrub that is a flowering plant.,Rose tree.,avarage
"What are herbs, shrubs, and trees?",Parts of plant.,poor
Give one use of flowering plants.,It make plant beauty.,avarage
Do all plants produce flowers?,Yes all plant do.,poor
What is the function of cotyledons?,They give food.,avarage
What color can flowering plants be?,Mostly red color.,avarage
Are conifers flowering or non-flowering?,Flowering.,poor
What kind of plant is bamboo?,Dicot.,poor
Are peas monocots or dicots?,Monocot.,poor
Which group includes moss?,It is flowering.,poor
Is sugarcane a monocot or dicot?,Dicot.,poor
What are cotyledons?,Cotyledon is plant part.,avarage
Which plant has two seed leaves?,Monocot plant.,poor
Are herbs flowering plants?,"No, they not.",poor
Name the five main parts of a flowering plant.,"Root, stem, leaf, fruits, bud",avarage
What is the function of roots?,Root fix plant and take water.,avarage
Where is the root located?,Under plant on soil,avarage
What does the stem do in a plant?,Stem move water to leaf and hold plant.,avarage
Name one part of the plant that makes food.,flower make food,poor
What is the colour of most leaves?,greenish,avarage
What do flowers produce?,Flowers make seed and tree,avarage
Name a function of leaves.,Leaves take food from air,avarage
What are root hairs?,Small hair on root to drink water,avarage
What is transpiration?,Water going from leave is transpiration,avarage
How does water move in a plant?,Water go in tube to plant up,avarage
What helps roots absorb water?,Hair of root help drink,avarage
What part of plant supports it above the ground?,Branch,poor
What helps the plant to stand in soil?,Roots stand the tree,avarage
Where does photosynthesis occur?,In flower,poor
Which part has tiny pores for transpiration?,Roots,poor
Why is water important for plants?,Plants drink water to live,avarage
How does stem help in transportation?,Stem move water to all plant,avarage
How are flowers different in plants?,All flowers are same color,poor
What happens if roots dont absorb water?,Plant die if no water come from root,avarage
Why are leaves important to the plant?,Leaves are green and nice,poor
What is the role of tubes in plants?,Tubes are like blood of plant,avarage
What causes water to move up in plants?,Water go up when plant need,avarage
What does the stem hold?,Stem carry roots,poor
How are water and minerals absorbed by the plant?,"From mud, plant get water",avarage
What happens to water at the top of the plant?,Water go away from flower,poor
What is the structure that connects roots to leaves?,Branch,poor
What do the pores in leaves do?,Pores are small dots on leaves,avarage
How is stem different from roots?,Root is long and stem is green,avarage
What happens during transpiration?,Water come out when sun is hot,avarage
How many types of rocks are there in the rock cycle?,Three,good
What are the three main types of rocks?,"ignous, sedimantary and metomorfic",avarage
What is the rock cycle?,The rock cycle is when rocks changing into diffrent type continously,avarage
True or False: Rocks can only follow one path in the rock cycle.,False. They can go in many path.,good
What determines the type of rock a substance becomes?,"The heat, pressure and eroison it gets.",good
What process breaks down rocks without moving them?,Whethering breaks the rocks,avarage
What process moves broken rock from one place to another?,Erotion is when rocks move from place to place,good
What two processes help form sedimentary rock?,Weathering and erosion help form sedimentary rock.,good
What two elements are needed to form metamorphic rock?,Heat and pressure are needed to form metamorphic rock.,good
What causes igneous rocks to form?,Igneous rocks form when magma or lava cools and solidifies.,good
What is magma called when it reaches the Earth's surface?,"When magma reaches the Earth's surface, it is called lava.",good
What happens to magma as it moves toward the surface?,"As magma moves toward the surface, it cools and begins to solidify.",good
What does the word 'igneous' mean?,The word 'igneous' means formed from fire or heat.,good
What type of rock is formed from lava cooling quickly?,Extrusive igneous rock is formed from lava cooling quickly.,good
What is weathering?,Weathering is the process that breaks down rocks into smaller pieces without moving them.,good
What is erosion?,Erosion is the process of moving broken rock and soil from one place to another.,good
What are sediments?,"Sediments are small pieces of rock, minerals, or organic material that are carried and deposited by wind, water, or ice.",good
What is an example of a sedimentary rock that turns into marble?,Limestone is a sedimentary rock that turns into marble.,good
What metamorphic rock forms from slate?,Schist is a metamorphic rock that forms from slate.,good
What does shale become under heat and pressure?,Shale becomes slate under heat and pressure.,good
What sedimentary rock transforms into quartzite?,Sandstone transforms into quartzite.,good
What is special about sedimentary rocks in terms of fossils?,Sedimentary rocks often contain fossils because they form in layers that trap remains of plants and animals.,good
How do sediments collect before forming sedimentary rocks?,"Sediments collect in layers, often at the bottom of rivers, lakes, or oceans.",good
How is calcite involved in sedimentary rock formation?,Calcite helps cement sediments together to form sedimentary rocks.,good
What mineral can come from animal shells and bones?,Calcium can come from animal shells and bones.,good
Where does the heat to form metamorphic rock come from?,The heat comes from the Earth's interior.,good
Where does the pressure to form metamorphic rock come from?,The pressure comes from the weight of overlying rocks and tectonic forces.,good
At what depth do metamorphic rocks begin to form?,Metamorphic rocks begin to form at depths greater than 10 kilometers.,good
What temperature range begins the transformation into metamorphic rock?,Metamorphic rocks begin to form at temperatures between 200'C and 800'C.,good
What happens to minerals when they are deeply buried in Earth?,"Minerals change shape, size, or arrangement when they are deeply buried due to heat and pressure.",good
What role does gravity play in the movement of sediments during erosion?,"Gravity pulls sediments downhill or downstream, helping move them during erosion.",good
Why do you think pressure is important in the formation of sedimentary rocks?,"Pressure presses sediments together, helping them form solid rock over time.",good
How is compaction different from cementation in sedimentary rock formation?,"Compaction presses sediments together, while cementation glues them using minerals.",good
What conditions would speed up the rock cycle process in nature?,"Conditions like volcanic activity, heavy rainfall, or earthquakes can speed up the rock cycle.",good
Describe how a metamorphic rock could eventually become a sedimentary rock.,"A metamorphic rock can be weathered into sediments, which are then compacted and cemented into a sedimentary rock.",good
Why might a volcano be considered an essential part of the rock cycle?,"A volcano releases magma that cools to form igneous rocks, making it key in the rock cycle.",good
How is a rock's journey through the rock cycle an example of change over time?,A rock's journey shows how it changes form due to natural processes over time.,good
What environmental changes could cause weathering to occur more quickly?,"Rain, wind, temperature changes, and pollution can cause faster weathering.",good
Why is it unlikely for rocks to remain in one stage of the cycle forever?,"Natural forces like heat, pressure, weathering, and erosion keep changing rocks over time.",good
How does the rock cycle contribute to soil formation?,Weathered rock breaks into small particles that mix with organic material to form soil.,good
What might happen if erosion stopped on Earth?,"If erosion stopped, sediments would not move, and sedimentary rocks would stop forming.",good
Why is the presence of fossils usually limited to sedimentary rocks?,"Sedimentary rocks form in layers that can trap and preserve fossils, unlike other rock types.",good
How do temperature and pressure interact to transform a rock?,"Temperature and pressure cause the minerals in a rock to rearrange, forming metamorphic rock.",good
What would happen if igneous rocks didn't cool fast enough?,"If igneous rocks didn't cool fast, they would form large crystals and become intrusive rocks.",good
Why are minerals important in the rock cycle?,Minerals make up rocks and help in processes like cementation and metamorphism.,good
Can one rock type become another without going through all three types? Explain.,"Yes, a rock can change directly into another type depending on conditions like heat or erosion.",good
What real-life example could you give of human activity speeding up erosion?,Cutting down trees or farming on slopes can increase erosion.,good
"In your own words, explain why the rock cycle is called a 'cycle.'",It's called a cycle because rocks keep changing and going through the same processes again and again.,good
How does water play a role in all three major rock types?,"Water helps in erosion (sedimentary), cooling lava (igneous), and changing rocks under pressure (metamorphic).",good
Why do you think the rock cycle is important for understanding Earth's surface?,The rock cycle helps us understand how landforms change and how new rocks and soil are made.,good
What is weather?,Weather is the condition of the atmosphere at a particular place.,good
What instrument measures temperature?,Thermometer measure temperature.,good
What is precipitation?,Precipitation is water falling from clouds as rain or snow or hail.,good
What does a barometer measure?,A barometer measures air pressure.,good
What causes wind?,Wind is caused by difference in air pressure.,good
What is humidity?,Humidity means water vapor present in air.,good
Name a type of cloud.,Cumulous is a type of cloud.,good
What is a rain gauge used for?,Rain gauge is used to measure rain amount.,good
